t,x,y,theta
1527990579.87162020,-88.9771317253,85.5586367213,-2.68580034661
1527990579.220272787,-89.0956403273,85.4897853779,-2.62308348473
1527990579.353704823,-89.2176168378,85.4103127608,-2.56412691132
1527990579.487563836,-89.3435759209,85.3175257856,-2.51234548735
1527990579.620581838,-89.4689407941,85.2170133866,-2.46451114971
1527990579.753775267,-89.599685254,85.0993695379,-2.43057826865
1527990579.887320738,-89.7199131479,84.9874842468,-2.40227129275
1527990580.20681159,-89.8363595987,84.8746994904,-2.3828747106
1527990580.154009382,-89.9437381998,84.7651589855,-2.37069639391
1527990580.287463097,-90.0401452301,84.6635389051,-2.35286985758
1527990580.420748328,-90.1276835894,84.5693217115,-2.33654642271
1527990580.554460927,-90.2130014176,84.4767061145,-2.32535760112
1527990580.688134347,-90.2870671807,84.3874971432,-2.30980537249
1527990580.821664667,-90.3580979362,84.2981414705,-2.29703846542
1527990581.21192208,-90.4501010238,84.1872847998,-2.28027373038
1527990581.221000671,-90.5312683902,84.0851654693,-2.26677900173
1527990581.421220104,-90.5963853278,84.0003168491,-2.25904407767
1527990583.554525211,-90.6429666253,83.9371266027,-2.15220581441
1527990584.288158413,-90.6959662544,83.8506823937,-2.15764439915
1527990593.821850756,-90.7406521674,83.7749869107,-2.25902638894
1527990594.87759876,-90.7410752219,83.772849017,-2.36046150995
1527990595.21545168,-90.8109156312,83.6913563192,-2.33562338823
1527990597.154348759,-90.8128186826,83.6849018749,-2.2085699739
1527990597.755290394,-90.8191673936,83.6705258886,-2.10837002724
1527990606.288204426,-90.8175184396,83.6649586039,-1.97773286167
1527990606.488417793,-90.8131438435,83.6586510308,-1.86242727802
1527990606.688710831,-90.8115323927,83.6566113457,-1.72340461455
1527990606.821696325,-90.8067125414,83.6535806633,-1.60671137769
1527990606.954868413,-90.8049799261,83.6528269413,-1.48359400232
1527990607.87978255,-90.8032189345,83.6469518078,-1.3404449835
1527990607.221358390,-90.7984971539,83.6479618681,-1.18995061457
1527990607.354530764,-90.7954605863,83.6455184784,-1.02155823153
1527990607.488132174,-90.7951661687,83.6425229052,-0.840710936557
1527990607.620757001,-90.7886318244,83.6441345491,-0.649834516783
1527990607.687843667,-90.7878177019,83.6452428955,-0.547463852744
1527990607.754017281,-90.7859239942,83.6450411788,-0.445227134481
1527990607.820849080,-90.7845377438,83.6451563503,-0.343195877868
1527990607.954180995,-90.7814283619,83.6418171582,-0.145694984543
1527990608.87612195,-90.7825578972,83.6429823113,0.0369370928649
1527990608.221062154,-90.7791104283,83.6433086121,0.201570631629
1527990608.354473552,-90.7803749196,83.6435157876,0.353731121679
1527990608.487840982,-90.7816659767,83.6440771957,0.489790908032
1527990608.620977791,-90.7806757447,83.6455685299,0.613228365038
1527990608.754770186,-90.7814368151,83.6465783547,0.719963464297
1527990608.954786270,-90.7828490625,83.6485297283,0.851394059922
1527990609.154267989,-90.7812754776,83.6504146154,0.952357821123
1527990609.554253874,-90.7807148098,83.6527196101,1.05231981882
1527990610.154197151,-90.7320430077,83.745522688,1.06094184054
1527990610.420680527,-90.6846951238,83.8349320811,1.06705853971
1527990610.687895647,-90.617479241,83.9538905485,1.05281696095
1527990610.887427365,-90.5609707914,84.0613069504,1.04152614068
1527990611.87677876,-90.4884325037,84.1848838048,1.01696300505
1527990611.221305028,-90.4325851997,84.2751612021,0.989456177762
1527990611.354154000,-90.3691353952,84.3697685593,0.95624545002
1527990611.487574535,-90.2973903969,84.4703060221,0.929578822307
1527990611.621465902,-90.2212876099,84.5785233975,0.900147501128
1527990611.754949251,-90.1356022278,84.6895611804,0.864757058468
1527990611.887535790,-90.0374253509,84.8037624436,0.831410301021
1527990612.20929732,-89.9379132816,84.9181775342,0.79042704713
1527990612.154303147,-89.8351371154,85.0280658244,0.75060236589
1527990612.287515730,-89.7315596161,85.1275224692,0.719708629638
1527990612.420924961,-89.6296721171,85.2218057792,0.683323881449
1527990612.554175470,-89.5303042839,85.304673941,0.636423238152
1527990612.688171002,-89.4282799451,85.3857990575,0.590946903353
1527990612.820682449,-89.3252930512,85.452142459,0.548127266735
1527990612.954233612,-89.2291556304,85.515321134,0.51301731811
1527990613.88189647,-89.1300602818,85.5723468486,0.458535467478
1527990613.220676129,-89.0411148423,85.6223404197,0.405912249579
1527990613.354024273,-88.9467544139,85.6652731505,0.355539992693
1527990613.554286819,-88.8231299689,85.7170410542,0.267854168343
1527990613.754513639,-88.6920848802,85.7510395246,0.153377325373
1527990613.954046476,-88.5826195988,85.7764796269,0.0903433419568
1527990614.154675170,-88.4564795839,85.7896651633,0.0200818918302
1527990614.354444736,-88.346027885,85.8009072342,-0.049494468495
1527990614.554828902,-88.2255396202,85.7950080334,-0.107803949882
1527990614.754454622,-88.1036126008,85.7903434284,-0.160750334976
1527990614.954243128,-87.9632692363,85.769593648,-0.181609961144
1527990615.155101996,-87.8328908143,85.7565590817,-0.205158688859
1527990615.354534653,-87.71253757,85.7313575461,-0.275494393489
1527990615.554657590,-87.602855423,85.7049235359,-0.338574969353
1527990615.754632147,-87.5072746569,85.6712234565,-0.41326188674
1527990615.955207518,-87.4123739972,85.636328726,-0.493812514513
1527990616.221248181,-87.2987255543,85.5677045524,-0.605335936333
1527990616.421336871,-87.2146612784,85.5146394975,-0.699291208895
1527990616.625757165,-87.1362318367,85.4466031884,-0.77695970446
1527990616.888306382,-87.0430128634,85.3572094371,-0.878711889726
1527990617.87925596,-86.978859459,85.2768367667,-0.953298403461
1527990617.288643194,-86.907075021,85.1804972376,-1.01651852718
1527990617.488034719,-86.8344246006,85.069083046,-1.07021614816
1527990617.621743001,-86.7816193822,84.9817962469,-1.1031473079
1527990617.754922808,-86.729707268,84.8844568403,-1.14916351404
1527990617.888080329,-86.6729758876,84.7773933803,-1.18916934504
1527990618.21666650,-86.6257689719,84.6726684317,-1.22065810196
1527990618.154869922,-86.5725972186,84.5598853279,-1.24701268419
1527990618.288211015,-86.5273790635,84.4379896462,-1.27858146948
1527990618.421445013,-86.4756132489,84.3103446044,-1.29644660413
1527990618.554915837,-86.4301294934,84.1689563402,-1.31703325563
1527990618.689309594,-86.3787517163,84.0304443418,-1.32754207248
1527990618.821855487,-86.3459799079,83.9197893979,-1.33098413829
1527990619.21811006,-86.3022932667,83.8053719024,-1.32667201214
1527990619.221848542,-86.2740294605,83.709649193,-1.32881539956
1527990619.488679846,-86.2307551715,83.5873830145,-1.32210852873
1527990619.689265442,-86.2026308286,83.4919672785,-1.32347718688
1527990619.955310850,-86.1591277991,83.3704642449,-1.3172025156
1527990620.221930409,-86.1202324062,83.2448758084,-1.31028494271
1527990620.424488608,-86.0855279676,83.1557563699,-1.30859319073
1527990620.689066636,-86.0464520028,83.0292740958,-1.30980074465
1527990620.888605292,-86.0095304747,82.9329764489,-1.30724954435
1527990621.88677144,-85.9707635783,82.81035865,-1.30768077495
1527990621.288886364,-85.9226205278,82.6716517252,-1.31413257569
1527990621.422580949,-85.8907093352,82.5666957182,-1.31690560348
1527990621.555985765,-85.8525158427,82.4551897553,-1.31006964553
1527990621.689270993,-85.8145461493,82.3351645542,-1.31236701944
1527990621.822326557,-85.771360005,82.2078753328,-1.3145868312
1527990621.955549558,-85.7330334197,82.0810499681,-1.30954289923
